City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,xilagani,40.9833,25.4167,-0.06,89,47,0.52,GR,1675234478
254,nemuro,43.3236,145.575,-1.48,87,100,4.69,JP,1675234479
255,guerrero negro,27.9769,-114.0611,13.42,61,61,4.71,MX,1675234480
256,yarensk,62.1675,49.0916,-2.45,90,98,5.08,RU,1675234480
257,road town,18.4167,-64.6167,24.05,65,1,8.16,VG,1675234481
258,defiance,41.3334,-84.45,-9.96,67,0,0.0,US,1675234482
259,sao filipe,14.8961,-24.4956,21.31,71,14,5.64,CV,1675234483
260,manzhouli,49.6,117.4333,-17.63,85,5,5.45,CN,1675234483
261,amherst,41.3978,-82.2224,-8.32,77,0,2.57,US,1675234345
262,broken hill,-31.95,141.4333,27.24,28,0,4.35,AU,1675234484
263,indianola,41.3581,-93.5574,-10.08,69,4,1.34,US,1675234485
264,dikson,73.5069,80.5464,-19.58,87,100,4.43,RU,1675234481
265,barcelos,41.5388,-8.6151,7.6,69,10,2.22,PT,1675234486
266,lavrentiya,65.5833,-171.0,-12.42,100,88,1.66,RU,1675234486
267,itoman,26.1247,127.6694,23.21,53,20,7.72,JP,1675234487
268,eichstatt,48.8833,11.1833,3.38,75,75,6.17,DE,1675234487
269,san buenaventura,27.0833,-101.5333,3.04,73,100,1.45,MX,1675234488
270,san isidro,-12.1167,-77.05,24.45,79,0,5.66,PE,1675234488
271,toora-khem,52.4675,96.11,-11.61,85,73,0.69,RU,1675234489
272,paraiso,9.8383,-83.8656,17.48,93,7,1.79,CR,1675234316
273,emba,48.8264,58.1442,-9.02,76,33,5.03,KZ,1675234489
274,nizamabad,18.6667,78.1167,29.67,26,9,5.29,IN,1675234456
275,santa cruz de la palma,28.6835,-17.7642,15.08,72,75,3.6,ES,1675234490
276,okhotsk,59.3833,143.3,-17.64,97,100,4.95,RU,1675234491
277,pevek,69.7008,170.3133,-14.96,88,99,0.57,RU,1675234488
278,monte aprazivel,-20.7725,-49.7142,22.36,92,100,1.49,BR,1675234492
279,ixtapa,20.7,-105.2,20.68,85,71,0.93,MX,1675234492
280,mahdasht,35.7299,50.8111,8.12,93,0,4.12,IR,1675234493
281,khorol,49.7837,33.2783,-1.0,94,100,2.4,UA,1675234493
282,qasigiannguit,68.8193,-51.1922,-17.86,96,100,1.29,GL,1675234494
283,mahebourg,-20.4081,57.7,29.58,74,75,4.63,MU,1675234495
284,santa cruz,-17.8,-63.1667,22.7,100,75,3.6,BO,1675234331
285,liancheng,24.0519,105.075,25.82,28,0,1.57,CN,1675234495
286,omsukchan,62.5333,155.8,-26.4,100,90,1.41,RU,1675234496
287,luancheng,37.8792,114.6517,4.09,14,66,2.13,CN,1675234496
288,thinadhoo,0.5333,72.9333,27.4,73,67,5.45,MV,1675234497
289,vila,42.0304,-8.1588,-2.51,69,10,1.94,PT,1675234497
290,aden,12.7794,45.0367,24.65,61,76,6.98,YE,1675234421
291,caraballeda,10.6112,-66.8522,25.04,81,40,0.0,VE,1675234498
292,edson,53.5835,-116.4356,-7.92,93,100,1.03,CA,1675234499
293,codrington,-38.2667,141.9667,16.7,46,98,5.18,AU,1675234499
294,azuaga,38.2667,-5.6833,2.76,57,0,1.23,ES,1675234500
295,sitka,57.0531,-135.33,3.94,93,100,0.0,US,1675234500
296,mazyr,52.0495,29.2456,-2.29,90,100,4.37,BY,1675234501
297,ajuchitlan,20.7167,-100.0167,11.83,91,19,2.14,MX,1675234501
298,le port,-20.9373,55.2919,29.17,78,99,1.59,RE,1675234502
299,belyy yar,53.6039,91.3903,-13.41,87,100,0.0,RU,1675234503
300,sokolo,14.7328,-6.1219,16.88,13,100,4.38,ML,1675234504
301,aitape,-3.1374,142.3475,27.43,79,74,2.93,PG,1675234505
302,ponta delgada,37.7333,-25.6667,13.4,71,20,3.09,PT,1675234507
303,olafsvik,64.8945,-23.7142,-1.61,87,100,5.04,IS,1675234507
304,coahuayana,18.7333,-103.6833,19.28,87,6,1.88,MX,1675234508
305,paris,48.8534,2.3488,6.81,82,100,4.63,FR,1675233774
306,tual,-5.6667,132.75,28.62,74,100,4.88,ID,1675234509
307,bozdar,27.1828,68.636,22.58,26,0,1.16,PK,1675234510
308,kud,33.0833,75.2833,10.06,40,10,2.76,IN,1675234510
309,mackay,-21.15,149.2,28.27,84,100,4.87,AU,1675234511
310,cozumel,20.5083,-86.9458,23.04,88,20,0.0,MX,1675234511
311,deputatskiy,69.3,139.9,-30.33,96,99,2.34,RU,1675234512
312,biak,-0.9131,122.8766,28.46,69,100,2.04,ID,1675234513
313,along,28.1667,94.7667,27.63,27,1,0.84,IN,1675234513
314,roald,62.5833,6.1333,3.75,100,75,2.06,NO,1675234514
315,jasidih,24.5167,86.65,27.13,17,0,7.69,IN,1675234515
316,marapanim,-0.7175,-47.6997,22.79,97,100,1.16,BR,1675234516
317,isla mujeres,21.2311,-86.731,25.09,80,5,4.57,MX,1675234516
318,matara,5.9485,80.5353,30.91,59,88,3.19,LK,1675234517
319,te anau,-45.4167,167.7167,16.85,97,100,0.41,NZ,1675234518
320,vaitape,-16.5167,-151.75,27.67,74,100,7.54,PF,1675234433
321,tete,-16.1564,33.5867,27.05,78,40,1.54,MZ,1675234520
322,tuatapere,-46.1333,167.6833,16.39,98,100,0.61,NZ,1675234476
323,alofi,-19.0595,-169.9187,24.94,22,75,2.06,NU,1675234522
324,la ronge,55.1001,-105.2842,-29.86,76,0,2.06,CA,1675234523
325,qarchi gak,37.04,66.7889,13.4,40,100,9.01,AF,1675234523
326,san policarpo,12.1791,125.5072,27.36,83,44,5.08,PH,1675234524
327,ilinskiy,55.619,38.1182,0.29,86,100,3.13,RU,1675234524
328,flinders,-34.5833,150.8552,25.03,69,56,3.89,AU,1675234525
329,sao luiz gonzaga,-28.4083,-54.9608,21.37,75,0,2.9,BR,1675234526
330,tatarsk,55.219,75.9828,-14.14,87,5,1.95,RU,1675234526
331,yumen,40.2833,97.2,-2.16,30,97,0.65,CN,1675234527
332,swan hill,-35.3378,143.5544,27.84,26,0,5.28,AU,1675234527
333,misratah,32.3754,15.0925,13.6,71,68,7.23,LY,1675234528
334,bhachau,23.2833,70.35,25.21,26,4,6.39,IN,1675234528
335,paamiut,61.994,-49.6678,-9.25,72,100,4.15,GL,1675234529
336,ozinki,51.1786,49.6769,-6.8,75,85,4.69,RU,1675234530
337,kruje,41.5092,19.7928,-3.99,86,0,1.03,AL,1675234530
338,rimouski,48.4488,-68.524,-11.18,91,47,4.17,CA,1675234530
339,eenhana,-17.4667,16.3333,21.14,80,99,1.22,NA,1675234531
340,kambove,-10.8764,26.5969,18.72,90,97,1.34,CD,1675234532
